preco,preco_antigo,marca,likes,anomesdia_particao,categoria,fl_item_ativo
500,500,apple,2,20260710,eletronicos,1.0
2800,2800,apple,7,20260710,eletronicos,1.0
2300,0,apple macbook imac tab iphone,0,20260710,eletronicos,1.0
200,0,redragon,0,20260710,eletronicos,1.0
29,29,sem  marca,0,20260710,eletronicos,1.0
100,100,extreme game,2,20260710,eletronicos,1.0
20,0,sem  marca,0,20260710,eletronicos,1.0
359,0,gopro,3,20260710,eletronicos,1.0
800,0,nikon,9,20260710,eletronicos,1.0
150,0,taiff,0,20260710,eletronicos,1.0
800,0,motorola,0,20260710,eletronicos,1.0
28,0,tp-link,1,20260710,eletronicos,1.0
230,0,hasbro interactive,0,20260710,eletronicos,1.0
386,0,sony,6,20260710,eletronicos,1.0
1100,1100,garmin,1,20260710,eletronicos,1.0
100,100,disney,2,20260710,eletronicos,1.0
3900,3900,samsung,4,20260710,eletronicos,0.0
87,0,atari,0,20260710,eletronicos,1.0
200,200,thq,5,20260710,eletronicos,1.0
88,88,seg,1,20260710,eletronicos,1.0
40,40,feir,0,20260710,eletronicos,1.0
88,0,xbox one,2,20260710,eletronicos,1.0
600,0,sony,2,20260710,eletronicos,1.0
800,800,sony,4,20260710,eletronicos,1.0
350,350,superframe,1,20260710,eletronicos,1.0
220,220,sem  marca,7,20260710,eletronicos,1.0
1350,0,sony,0,20260710,eletronicos,1.0
1500,0,apple,5,20260710,eletronicos,0.0
989,0,apple,2,20260710,eletronicos,1.0
700,0,nintendo,1,20260710,eletronicos,1.0
250,0,samsung,0,20260710,eletronicos,1.0
199,0,google,1,20260710,eletronicos,1.0
850,0,apple,0,20260710,eletronicos,1.0
25,0,apple,0,20260710,eletronicos,1.0
250,250,capcom,3,20260710,eletronicos,1.0
279,0,lg,1,20260710,eletronicos,1.0
65,65,fast hair,1,20260710,eletronicos,1.0
35,0,sem  marca,0,20260710,eletronicos,1.0
120,120,mq,2,20260710,eletronicos,1.0
200,0,e71,0,20260710,eletronicos,1.0
169,169,remington.,0,20260710,eletronicos,1.0
1000,0,nintendo,2,20260710,eletronicos,1.0
100,0,medicube,0,20260710,eletronicos,0.0
300,0,positivo.,0,20260710,eletronicos,0.0
1899,0,samsung,0,20260710,eletronicos,0.0
100,100,logitech,3,20260710,eletronicos,1.0
200,0,arno,0,20260710,eletronicos,1.0
4000,0,nikon,0,20260710,eletronicos,1.0
770,0,asus,0,20260710,eletronicos,1.0
850,0,apple,0,20260710,eletronicos,1.0
1050,1050,sony,9,20260710,eletronicos,1.0
1300,0,apple,2,20260710,eletronicos,1.0
88,88,gamee,0,20260710,eletronicos,1.0
148,148,sonyy,1,20260710,eletronicos,1.0
100,100,barbie,1,20260710,eletronicos,1.0
40,40,lg,0,20260710,eletronicos,1.0
100,100,turbo game,0,20260710,eletronicos,1.0
500,500,lenovo,1,20260710,eletronicos,1.0
4000,4000,apple,2,20260710,eletronicos,1.0
130,0,ajazz,0,20260710,eletronicos,1.0
140,0,xbox one,1,20260710,eletronicos,1.0
150,150,intelbrás,0,20260710,eletronicos,1.0
29,0,nintendo,0,20260710,eletronicos,1.0
90,90,fuji,3,20260710,eletronicos,1.0
650,0,samsung,1,20260710,eletronicos,1.0
1500,0,jbl,0,20260710,eletronicos,1.0
5000,5000,apple,2,20260710,eletronicos,1.0
1100,0,samsung,0,20260710,eletronicos,1.0
500,0,apple,1,20260710,eletronicos,1.0
